Domain,Partition,Personal Domain - Knowledge (Cognitive),Personal Domain - Skills (Psychomotor),Personal Domain - Attitudes (Affective),Partition,Team Domain - Knowledge (Cognitive),Team Domain - Skills (Psychomotor),Team Domain - Attitudes (Affective),,Enterprise Domain - Knowledge (Cognitive),Enterprise Domain - Skills (Psychomotor),Enterprise Domain - Attitudes (Affective)
Discovery and Acquisition of Data,P6,"Learners download tabular (.csv, .tsv, .tab) data sets and critically consider the contents of the table with a goal of recombining relevant data into a new data table. 3",Follow instructions for integrating data from multiple tables into a new table. ,Justify selection of data for inclusion in reconstituted data table. ,T6,Learners import data on relevant topics or of relevant types from repositories and convert file formats when necessary for appropriate usage given the specifications of the local research project. ,Follow specifications of research and converts file formats in accordance with those specifications.,Justify selection of data based upon the research topic or data types specified in the research design. ,E6,Learners transform data structures of existing data sets based upon the design constraints necessary to successfully investigate a research question or complete their research design (e.g. from a spreadsheet to a relational database). 4,Adapt database structure according to the available design constraints. 4,Critique the transformations made to ensure that the content of the data hasn't been altered as the data structure has been changed. 
Discovery and Acquisition of Data,P6,Demonstrate functional knowledge of tabular file formats and apply that knowledge to download tables relevant to a topic.,,,T6,Demonstrate functional knowledge of relevant data types in their discipline to download files. ,,,E6,Develop a plan for the transformation of the data that maps fields in one data set to the other. 4,,
Discovery and Acquisition of Data,P7,"Learners can identify sources (organizations, agencies) that may produce data relevant for a specific purpose. 3,17",Construct their disciplinary knowledge with data sets included in that knowledge core. ,Understand that data underpins disciplinary knowledge found in scholarly articles and books. ,T7,Learners seek out data sets for re-use and critique the utility of the data set found based in part upon the quality of the metadata available.,Distinguish criteria for quality metadata. ,Compare found data sets' metadata to the quality criteria to determine relative utility/quality of the data. ,E7,Learners intuit the existence of non-public data through the use of literature and negotiate access via data use agreements.43,Negotiate a contractual agreement for the use of non-public data that respects the rights of the data creator as well as necessary data re-use conditions. ,Adhere to and ensure the adherence of research personnel to the data use agreement conditions of use. 
Discovery and Acquisition of Data,P7,Use online portals to download a data set. ,,,T7,Discover data sets using scholarly articles or repository directories. ,,,E7,Discover data sets using scholarly articles as guidance and through direct contact with the author. ,,
Data Management and Organization,P8,Learnersexplain the scholarly communication life cycle and that data areproduced during the earliest phases of the scholarly communication lifecycle.,Identify where the scholarly products of each stage of the lifecycle might be retrieved. ,Discuss how scholarly products build upon each other throughout the scholarly communication lifecycle.,T8,"Learners recognize that data has a lifecycle of its own, and that specific tasks align with different stages of the lifecycle.  ",Follow data protocols and explains how different protocols are tied to given stages of the research lifecycle. ,Propose tasks to be completed as learner recognizes that data management moves from one lifecycle stage to another.,E8,Learners use the data lifecycle to guide research data management planning and decision making by recognizing stages as gateways for designated data management tasks. ,Assess and improve  data management practices to more efficiently manage data across the data lifecycle. ,Influence members of the research group to consider the data lifecycle as a project management tool for ongoing research data management. 
Data Management and Organization,P8,State the stages of the scholarly communication lifecycle as well as listing scholarly products of each lifestyle stage.,,,T8,Apply the data lifecycle to determine the data management stage for pre-existing research projects. ,,,E8,Design data protocols that reflect the data lifecycle and indicate tasks that should be done at given stages of the data lifecycle. ,,
Data Management and Organization,P9,"Learners explain the concept of a data management plan, its constituent parts and its use as an organizational document of research endeavors. ","Describe how a data management plan is related to a research project, and why it is created.",Discuss how a data management plan may be used in a research project. ,T9,Learners proactively seek out data management plans as sources of information about research groups and projects and evaluate their own data practices by the expectations spelled out within data management plans.,Organize research data  according to those management practices specified in a data management plan. ,Initiate engagement with data management plans that are specific to research groups or projects as the learner moves into that environment. ,E9,"Learners develop data management plans for their research teams that serve as guiding project management documents, are revised as changes are made to research practice and that adequately balance responsibility to funding agencies and local research practice. ",Update data management plan as changes are made to research practices at the local or disciplinary level. ,"Modify data management plan  based upon responsibility to funding agency, disciplinary best practices, local best practices and emerging technologies in data management. "
Data Management and Organization,P9,List parts of a data management plan and what those parts generally contain. ,,,T9,,,,E9,"Develop data management plan that reflects local, disciplinary and data management best practices",,
Data Management and Organization,P10,"Learners use a rubric to identify the credibility of databases that they find online in order to verify currency, relevance, authority, accuracy, and purpose.2, 6","Explain the criteria by which they believe the data sets meet or do not meet each factor of the CRAAP test.2,6","Discuss the similarities and differences of evaluating information between scholarly articles, internet content and data sets. ",T10,"Learners use a rubric and/or template to prepare a  data set package for sharing and reuse  that describes the data set in ways that allow users to determine currency, relevance, authority, accuracy, and purpose of their dataset. ",Follow a rubric or template for the preparation of metadata.,Discuss  the value of metadata for the evaluation of the contents of data set. ,E10,"Learners use a rubric to identify areas of incompleteness or inaccuracy in a data management plan (DMP), whether their own or that of another researcher whose proposal they are reviewing for a funding agency. ",Recommend or make revisions based upon knowledge of DMP best practices.,"Discriminates between differing approaches to data management as described in DMPs, identifying those that are preferred or best practices. "
Data Management and Organization,P10,List the criteria of the CRAAP test.7,,,T10,Apply critical thinking to elements of descriptive metadata needed for end users to be able to assess the contents of a data set. ,,,E10,Judge completeness and accuracy in light of DMP best practices. ,,
Quality Assurance,P11,"Learners state that data errors can be prevented by stating measurement units, data fields to be captured and formats for data captured prior to starting data capture.8",Recognize proactive steps that can be taken to prevent data errors.,Explain how actions taken early in the data capture process can positively impact data quality throughout the data lifecycle.,T11,Learners apply best practices for data collection such as double entry or designing data storage to atomize records in order to prevent errors in data from arising. 8,Organize data collection to minimize error generation. ,Intitiate critical discussions of data collection procedures from the lens of error generation with the intent of identifying better practices for future projects. ,E11,Learners perform quality control checks on data sets and teach others to do so as well in order to ascertain that their data is accurate and free from errors. 8,Develop a systematic training program for others to ensure that data generated within the research enterprise is subject to quality control measures. ,Revise practices and training programs based upon emerging technologies and practices to further improve quality control measures.
Quality Assurance,P11,State that data errors exist. ,,,T11,Create research plan that integrates best practices throughout data collection to minimize errors.,,,E11,Critique data sets based upon acknowledged best practices of quality control appropriate to their discipline. ,,
Quality Assurance,P12,"Learners state that data corruption can be caused by any number of interactions with data, including human error, computer file creation or transformation problems.8",Explain how to prevent data corruption. ,Discuss the consequences of data corruption. ,T12,Learners think critically about the contents of the data set at all phases of data collection and analysis in order to identify errors at the point of generation in a timely manner and to appropriately address the errors.8,Assess data using metrics (based upon scientific and data literacy) to identify errors or quality control issues. ,"Create plan to address errors using information from variety of data sets, metrics, and external sources appropriate to research. ",E12,"Learners guide all members of the research group in regular and structured investigations of data collected, to identify errors; points of generation or introduction for those errors; and to create plans to mitigate existing errors and prevent future error introduction. ","Initiate discussions and instruction on identification of errors, and points of generation or introduction of errors.",Synthesize best practices and local norms into plans to mitigate existing errors and to prevent future errors. 
Quality Assurance,P12,"Discuss the types of data manipulations that can lead to data corruption, including human error, file creation, or transformations.  ",,,T12,Develop a methodology to analyze contents of data as the set is generated for potential data errors.,,,E12,Develop procedures for regular and structured investigation of errors in data sets. ,,
Data Conversion and Interoperability,P13,Learners change files from one format to another as part of their workflow.,Demonstrate conversion process from one format to another. ,Select relevant file formats appropriate to their current project.,T13,Learners recognize that moving data from one file format to another can introduce errors in the data and  check for errors. ,Check for errors immediately during the process of creating files. ,Compare pre-existing file and newly created file to determine if errors have been introduced. ,E13,Learners anticipate the need to move data from one format to another while creating their research plan and build in checks for error and data loss at points of data conversion. ,Initiate specific protocols for checking error and data loss at points of data conversion. ,Verify that data has forward converted successfully with a mimimum of data loss and/or error. 
Data Conversion and Interoperability,P13,Explain the process by which a file can be saved or forward converted to another file format.,,,T13,Demonstrate how conversion between file formats can induce errors. ,,,E13,Design research plans with points of conversion identified as points of weakness/points of potential data loss.,,
Data Conversion and Interoperability,P14,Learners prefer to save files in standard file formats. ,Choose relevant files formats from a list of standard file formats. ,Justify selection of standard file formats. ,T14,Learners use file formats that are standard within their disciplinary field whenever possible and understand the cons to using non-standard file formats for disciplinary research. ,Follow disciplinary best practices for file formats.,Compare advantages and disadvantages to using non-standard file formats in disciplinary research. ,E14,Learners specify the use of standard file formats in their research group whenever possible and provide explanation to research personnel regarding preferred file formats for specific research projects. ,Revise protocol as new standards emerge within the discipline. ,"Influence research personnel to adopt specific file formats for research project through instruction, conversation, etc. "
Data Conversion and Interoperability,P14,List standard file formats. ,,,T14,State standard file formats within their disciplinary field. ,,,E14,Categorize preferred file formats in a group protocol document for the use of research personnel. ,,
Data Conversion and Interoperability,P15,Learners are aware of the difference between proprietary and non-proprietary formats and understand why using non-proprietary formats for files that they want to access in 5-10 years is best.,Differientiate between file formats as proprietary or non-proprietary.  ,Justify selection of non-proprietary file formats as a result of access longevity criteria. ,T15,Learners select non-proprietary formats whenever possible and convert proprietary files into non-proprietary formats for long term access and sharing. ,Alter file formats through conversion at key points in the research process for the purpose of data access and sharing.,Share information about the conversions with others to facilitate data access and sharing. ,E15,"Learners identify equipment (sensors, electronics, etc.) in the research facility that output proprietary formats in the research group protocol and recommend specific non-proprietary formats to convert those files to for longterm preservation and access. ",Originate recommendations for specific non-proprietary formats for those outputs to be converted to. ,"Act to ensure that conversions happen at key points in the research process for the purpose of data access, sharing and preservation. "
Data Conversion and Interoperability,P15,Explain the difference between proprietary and non-proprietary file formats. ,,,T15,Use non-proprietary formats whenever appropriate for the research design and methodology. ,,,E15,List equipment that outputs in proprietary formats in a shared document that is accessible by research personnel. ,,
Metadata,P16,"Learners understand that metadata describes the context in which a data set was created and  answers the questions of Who, What, When, Where, and Why about that data set.9",Identify the presence of fields within a metadata record that answer the 5W questions.,Discuss the function of the fields and why researchers might find them valuable for re-using or sharing data. ,T16,"Learners describe how metadata can be used by a research group and/or discipline to communicate about research findings and to assist in reproducing research results.10, 11",Follow research group and disciplinary guidelines for metadata implementation. ,Discuss the use of metadata in communicating research findings and reproducing research results. ,E16,"Learners develop a metadata protocol for their research project in which metadata standards or expected levels of  metadata creation (fields, units of measures, etc.) are identified.  ",Adapt metadata to research group and specifies completion at key points in research life cycle.  ,Verify completion of metadata at key points in research life cycle. 
Metadata,P16,"Summarize the function of metadata in terms of journalism questions Who, What, When, Where, and Why. ",,,T16,Describe metadata requirements for the research group and discipline of which they are a member. ,,,E16,Create a document with expectations for completion of metadata to existing standards or with specified fields. ,,
Metadata,P17,"Learners define the concept of a standard and recognize that standards govern physical objects, processes and methodologies and that metadata is a methodology governed by standards.12",Locate standards and examines the contents of a standard. ,Compare a metadata standard (governing a process) to a standard governing a physical object. ,T17,"Learners recognize that metadata is governed by standards and  apply a metadata standard to a data set in order to make their data set available to others and, if applicable, to comply with disciplinary norms.13",Follow standard while using best practices to create usable human and computer readable metadata. ,Initiate updates to metadata at regular intervals throughout the research life cycle. ,E17,"Learners use, critique, and participate in the modification of disciplinary metadata standards to improve the efficacy of existing metadata standards or bring into existence metadata standards appropriate to the disciplinary specifications. ",Initiate participation in standard issuing bodies' revisions of metadata standards to correct gaps. ,Solve lingering issues with metadata standards through standard revision processes to contribute to discipline. 
Metadata,P17,Summarize the function of a standard as a guideline ensuring consistent action or process. ,,,T17,Describe a data set with standard metadata. ,,,E17,Critique metadata standards for gaps or problems that complicate metadata production in their discipline. ,,
Metadata,P18,Learners recognize basic fields that frequently appear in metadata records. ,Describe the contents of frequently appearing metadata fields. ,"Discuss where metadata appears in daily activities (nutrition labels, media players, etc.) ",T18,Learners proficiently use a metadata editor to produce metadata that meets a standard that is acceptable to their discipline. ,Use the metadata editor tool proficiently.  ,Discuss ways to improve metadata for internal and external data reuse.43,E18,Learners withhold publication of data sets until an acceptable quality and level of metadata have been produced to accompany the data set so that it can be understood by self and others during future use. ,Adapt data release schedule to allow for appropriate metadata completion. ,Modify metadata with both internal and external audiences in mind for future reuse. 
Metadata,P18,List fields that may commonly appear in metadata records. ,,,T18,Identify a metadata editor appropriate to write metadata in a specific standard. 13,,,E18,Judge completion of project or product metadata against disciplinary or standard metadata expectations. ,,
Metadata,P19,"Learners discuss the concept of ontologies applied to disciplinary applications such as physics, earth sciences, curriculum development, etc.14, 15, 16",Respond to the use of ontologies to change or augment learning within the disciplines. ,Discuss that concepts are  mapped in ontologies to promotes communication between groups or systems.  ,T19,"Learners recognize ontologies that apply to their disciplines, major metadata standards for their disciplines or repositories that they frequently use. ",Assemble lists of keywords for metadata from existing ontologies. ,Relate ontologies to the discipline as a whole. ,E19,Learners embrace disciplinary movements to use ontologies as controlled vocabulary and other data exchange technologies as available by discipline. ,Respond to disciplinary initiatives to integrate ontologies in data sharing and exchange technologies. ,Influence research personnel to adopt ontology vocabulary as appropriate throughout the research life cycle. 
Metadata,P19,Define ontology within the context of the information they learn in their disciplinary studies. ,,,T19,"Perform a search for ""ontology AND discipline"" to get basic information about the disciplinary culture. ",,,E19,Apply ontologies as controlled vocabulary in descriptive metadata. ,,
Data Curation and Re-Use,P20,Learners recognize that scientific reproducibility requires reuse of scientific data. ,Assess the reproducibility of scientific studies based in part upon the inclusion of shared data. ,Cite scientific literature that include open/accessible data. ,T20,Learners design research projects and manage research outputs including data with re-use for the purpose of reproducing research as a primary goal.18,Display awareness of the importance of reproducibility in science and works to ensure reproducibility of work. ,Modify work flows to reflect best practices of reproducibility as they are developed. ,E20	Learners develop and manage research outputs including data with re-use by other researchers for the purpose of reproducing research or creating new knowledge as a specific outcome of research grants and projects. ,,Display awareness of the importance of sharing data for creation of knowledge and to reproducibility. ,Modify work flow to reflect best practices of sharing data and reproducibility as they are developed. 
Data Curation and Re-Use,P20,Contextualize scientific reproducibility as part of the scientific method.  ,,,T20,"Design research project with best practices of data management, including metadata, formats, etc.  ",,,E20	Learners develop and manage research outputs including data with re-use by other researchers for the purpose of reproducing research or creating new knowledge as a specific outcome of research grants and projects. ,"Design research project for data re-use, using metadata, formats, other best practices to facilitate re-use. ",,
Data Curation and Re-Use,P21,Learners understand the cost associated with the production and access of all information.19,Identify potential producers of specific info and associated economic issues.,"Appreciate the non-financial toll that may be paid to make info available (copyright, etc.)",T21,Learners articulate the time and resource costs of managing data in their research plans. ,Organize research plan in such a way that data management is factored in at all stages of the research life cycle. ,Prioritize data management so that data curation is possible at the end of the research life cycle. ,E21,"Learners articulate the financial, time and resource costs of managing data in their research plans and research group management, as well as in their research grant applications. ",Organize research plan so that data management is factored in at all stages of the research life cycle. ,Prioritize data management and leaves time so that data curation is possible at the end of the research life cycle and grant award period.  
Data Curation and Re-Use,P21,"Explain the costs associated with production, hosting, and access of information, whether online or in print, data or publications. ",,,T21,Create a research plan that factors in time and resources of data management as well as research protocols. ,,,E21,"Create a research plan that factors time, money and resources of data management as well as research protocols. ",,
Data Curation and Re-Use,P22,Learners recognize data management plans (DMPs)are artifacts that describe research projects and practices in their disciplines and look to data management plans to learn about their disciplinary culture.21,Identify research practices described in the DMP common to their discipline. ,Discuss disciplinary culture as shown in DMPs. ,T22,Learners follow templates to learn the parts of a data management plan and practice completing a data management plan.  22,Assemble a data management plan for their project using the template. ,Understand utility of data management plan for organizing and managing a research project. ,E22,Learners create data management plans tailored to their research proposals that reflect the nuances of their research design and the anticipated data management needs resulting from that research design. Learners update the data management plan as research designs change over time.20,Revise data management plan as the research design changes over the life of the project. ,Modify templates for custom content as needed to effectively describe needs of the research project being planned. 
Data Curation and Re-Use,P22,Recognize data management plans as a document describing research projects. ,,,T22,Use templates such as DMPtool.org to learn the parts of a data management plan. ,,,E22,Construct a data management plan specific to the research design described in the funding request. ,,
Cultures of Practice,P23,Learners recognize data sets as a part of domain knowledge and learn to find and use data sets along with scholarly journal articles and monographs as appropriate for their discipline. 23,Find and retrieve data sets from disciplinary or other repositories. ,Discuss the relationship between data sets and other research outputs in their disciplines.,T23,"Learner recognizes disciplinary practices, values and norms for their discipline as they relate to managing, sharing, curating and preserving data. 24","Follow disciplinary practices, values and norms for data in their discipline. ","Ask for clarification and further guidance about disciplinary practices, values and norms for data. ",E23,"Learner teaches and models practices, values and norms for their discipline as they relate to managing, sharing, curating and preserving data. 24","Originate learning opportunities for personnel regarding disciplinary data practices, etc.","Influence the behavior and practice of other research personnel to adopt disciplinary data practices, values, and norms. "
Cultures of Practice,P23,State that data sets are a part of domain knowledge similar to scholarly journal articles and monographs.19,,,T23,"Describe disciplinary practices, values and norms for data in their discipline. ",,,E23,"Construct educational curricula or interventions relating practices, values and norms for their disciplinary data practices.",,
Cultures of Practice,P24,"Learners define the concept of a standard and recognize that standards govern physical objects, processes and methodologies and that metadata is a methodology governed by standards.12",Locate standards and examines the contents of a standard. ,Compare a metadata standard (governing a process) to a standard governing a physical object. ,T24,"Learners recognize that metadata is governed by standards and  apply a metadata standard to a data set in order to make their data set available to others and, if applicable, to comply with disciplinary norms.13","Follow standard while using best practices to create meaningful, human and computer readable metadata. ",Initiate updates to metadata at regular intervals throughout the research life cycle. ,E24,"Learners use, critique, and participate in the modification of disciplinary metadata standards to improve the efficacy of existing metadata standards or bring into existence metadata standards appropriate to the disciplinary specifications. ",Initiate participation in standard issuing bodies' revisions of metadata standards to correct gaps. ,Solve lingering issues with metadata standards through standard revision processes to contribute to discipline. 
Cultures of Practice,P24,Summarize the function of a standard as a guideline ensuring consistent action or process. ,,,T24,Describe a data set with standard metadata. ,,,E24,Critique metadata standards for gaps or problems that complicate metadata production in their discipline. ,,
Data Preservation,P25,Learners understand that there is a cost associated with the preservation of all information.19,Identify who is likely to care enough to preserve info and pay to make it available as a way to locate it.,"Appreciate the non-financial costs that can be paid to preserve info (manpower, tech).",T25,Learners articulate the time and resource costs of preserving data in their research plans.  ,Follow best practices for preservation as articulated for discipline or data type. ,Ask for assistance in identifying best practices in preservation. ,E25,"Learners articulate the financial, time and resource costs of preserving data in their research plans and research group management, as well as in their research grant applications. ",Follow best practices for preservation  and encourages research personnel to do likewise. ,Prioritize data preservation and leaves time and resources for preservation at the end of the research grant period. 
Data Preservation,P25,"Explain the costs associated with preserving information, whether online or in print, data or publications. ",,,T25,Infer costs of putting preservation practices in place from beginning  and update inference across life cycle. ,,,E25,Infer costs of putting preservation practices in place from beginning  and update inference across life cycle. ,,
Data Preservation,P26,"Learners integrate regular backups and Lots of Copies Keeps Stuff Safe (LOCKSS) to preserve personal files.25, 26",Initiate multiple backups in multiple locations to ensure preservation of personal files. ,Appreciate the importance of backups for the mitigation of file loss through theft or accident. ,T26,"Learners integrate backups, loss prevention, version control and other preservation best practices as appropriate to their research project and discipline.27",Mix preservation methods logically in order to create a comprehensive preservation plan. ,Relate the function of a preservation technique and describes how the technique adds a layer of added security.,E26,"Learners integrate backups, loss prevention, version control, periodic migrations, media-based preservation solution, and other preservation best practices as appropriate to their research project and discipline.",Adopt preservation best practices and implement logically in order to address preservation comprehensively.,Instruct research personnel on preservation techniques and verify that preservation initatives are being carried out effectively. 
Data Preservation,P26,Schedule regular backups for personal files and follow through on performing the backups.,,,T26,"Set up backups, loss prevention, version control, etc in a logical and routine manner integrated within the research workflow.",,,E26,"Oversee implementation of backups, loss prevention, migration, etc in a routine manner integrated in workflow.",,
Data Preservation,P27,Learners recognize that some information has more value than other information and will need more preservation efforts. ,Differientiate between those files requiring long term backup and storage and those files that do not. ,Justify the selection of files for long term backup and storage. ,T27,Learners identify unique research data sets or data sets that can not be easily recreated as targets for preservation techniques and resources. ,Proceed with preservation protocol for specific research data sets. ,"Describe importance of preservation to sharing,  reproducibility, and the scientific record. ",E27,"Learners design research projects and write data management plans that articulate which data sets  will be unique or not easily reproduced, and therefore in need of long term preservation. Those data sets will be identified early in the project life cycle and resources set aside for their preservation. ",Initiate preservation protocol for data sets identified as valuable and sets aside resources for preservation. ,Instruct research personnel on the importance of preservation to scientific reproducibility and the scientific record. 
Data Preservation,P27,Prioritize authored information on a continuum from least important to most important to preserve. ,,,T27,Explain which research data sets cannot be easily re-created or reproduced. ,,,E27,Appraise likely value of data at each phase of life cycle for reproducibility and uniqueness at project design phase. ,,
Data Analysis,P28,"Learners employ analytical methods during applied research opportunities such as undergraduate research fellowships, internships, or undergraduate research experiences.28",Follow instructions or protocols for analyzing data using specific analytical tools prescribed by research lab. ,Discuss use of analytical methods within broader discipline as whole with research supervisor. ,T28,"Learners analyze data using the data processing, graphical analysis, and statistical analysis tools that are commonly used or preferred within the discipline.29",Design analyses using widely accepted tools. Accept advice from expert users to improve analyses. ,Verify design of analyses with research supervisor and other experts in discipline  to assure research quality. ,E28,"Learners recommend specific data processing, graphical analysis, and statistical analysis tools to research personnel as best practices for the local research lab or discipline as a whole.29",Instructs supervisees regarding disciplinary preferences regarding analytical tools. ,"Modifies analytical protocols as new tools emerge, are appropriate for research and are embraced by discipline. "
Data Analysis,P28,Employ analytical methods as directed by research supervisor. ,,,T28,"Identify analysis tools that are commonly used w/n discipline via exposure to disciplinary research (articles, data sets.)",,,E28,Recommend specific analytical tools to research personnel. ,,
Data Analysis,P29,"Learners employ workflow management tools during applied research opportunities such as undergraduate research fellowships, internships, or undergraduate research experiences.28",Follow instructions or protocols for producing documentation and using workflow management tools. ,Discuss use of workflow management tools within broader discipline as a whole with research supervisor. ,T29,Learners fully document all workflows including parameters and analysis to encourage reproducibility of research.29,Follow best practices such as documenting code and constructing end-to-end scripts.29,Verify that documentation accurately reflects all aspects of analysis to facilitate reproducibility and sharing. ,E29,Learners recommend specific work flows and workflow management tools to research personnel as best practices for the local research lab or discipline as a whole.29,Initiates conversations regarding appropriate work flows and tools for specific research projects. ,"Verifies that workflows have been adequately documented to ensure reproducibility and future sharing, if desired. "
Data Analysis,P29,Employ workflow management tools as directed by research supervisor. ,,,T29,Document workflows formally via workflow software or informally via workflow diagrams for reference. ,,,E29,"Generate workflows, either formally through software or informally via diagrams for all aspects of research project. ",,
Data Visualization,P30,"Learners employ visualization tools during applied research opportunities such as undergraduate research fellowships, internships, or undergraduate research experiences.28",Follow instructions or protocols for visualizing data that are specific to research group. ,Justify decision to present quantitative information visually.17,T30,Learners visualize data using  tools that are appropriate to their research project and that are commonly used or preferred with their discipline. ,Construct visualizations using widely accepted tools. Accepts advice from expert users to improve visualizations. ,Verify visualization with research supervisor and other experts in discipline to ensure clear communication. ,E30,Learners recommend specific data visualization tools to research personnel as best practices for the local research lab or discipline as a whole. ,Instruct supervisees regarding disciplinary preferences regarding visualization tools. ,Question visualization parameters selected by supervisees in order to clarify and enhance communication in end product. 
Data Visualization,P30,Employ visualization tools as directed by a research supervisor. ,,,T30,"Identify visualization tools commonly used w/n discipline via exposure to disciplinary research (articles, data, etc.)",,,E30,Recommend specific visualization tools to research personnel. ,,
Data Visualization,P31,"Learners recognize ambiguity and misleading presentation of data in visualizations authored by others and critique how the ambiguity is engendered.30,31",Describe the techniques/choices that the visualization author made to create ambiguity.31,Propose alternative presentations of data that would be less ambiguous or biased.31,T31,"Learners select the most appropriate visualization type for their data and project and choose to remove ambiguity and misleading appearance from visualizations of their work.30,32",Follow best practices of visualization design.32,Justify the choices that they made in designing their visualization based upon the parameters of their data.32,E31,"Learners critique visualizations produced by research personnel, seeking to remove ambiguous or misleading visualizations in order to maximize communication through the visualization. 30,32,33","Detect ambiguous or misleading visualization and determine the source of the problem.31,32,33",Clarify the problematic nature of the visualization with supervisee in order to enhance clarity and communication in publication.  
