Reference Number,Author,Publication Title,Publication Source,Permanent Identifier/URL,Publication Volume/Issue,Publication Date,
24,"Carlson, Jacob
Fosmire, Michael
Miller, C.C.
Sapp Nelson, Megan",Determining Data Information Literacy Needs: A Study of Students and Research Faculty,portal: Libraries and the Academy,https://muse.jhu.edu/,11:2,2011,
25,Stanford University,Preservation Principles,,http://www.lockss.org/about/principles/,,2016,
26,"Valentino, Maura
Boock, Michael",Data Management for Graduate Students: A Case Study at Oregon State University ,Practical Academic Librarianship,https://ir.library.oregonstate.edu/xmlui/bitstream/handle/1957/57831/ValentinoMauraLibraryDataManagementGraduate.pdf?sequence=4,5:02,2015,
27,"Carlson, Jake
Bracke, Marianne S.",Agriculture/Graduate Students/Carlson & Bracke/Purdue University/2014,Data Information Literacy Case Studies,http://docs.lib.purdue.edu/dilcs/vol1/iss3/1/,1:03,2014,
28,"
Kreisberg, Adam Frank, Rebecca D. Faniel, Ixchel D. Yakel, Elizabeth",The Role of Data Reuse in the Apprenticeship Process,ASIST 2013,http://www.asis.org/asist2013/proceedings/submissions/papers/49paper.pdf,50,2013,
29,DataONE,Lesson 10: Analysis and Workflows,,https://www.dataone.org/education-modules,,2012,
30,"Tufte, Edward",The Visual Display of Quantitative Information,"Cheshire, CT: Graphics Press",,,2001,
31,"Womack, Ryan ",Data Vizualization and Information Literacy,IASSIST Quarterly ,http://www.iassistdata.org/sites/default/files/iq/iqvol381_womack.pdf,38:1,2014,
32,"Kelleher, Christa
Wagener, Thorsten",Ten Guidelines for Effective Data Visualization in Scientific Publications,Environmental Modelling & Software,http://dx.doi.org/10.1016/j.envsoft.2010.12.006,26:6,2011,
33,"Evergreen, Stephanie Emery, Anne K. ",Data Visualization Checklist,,http://stephanieevergreen.com/wp-content/uploads/2014/05/DataVizChecklist_May2014.pdf,,2014,
34,"Tufte, Edward",Envisioning Information,"Cheshire, CT: Graphics Press",,,1990,
35,"Lengler, Ralph
Eppler, Martin J.",Periodic Table of Visualization Methods,Visual-literacy.org,http://www.visual-literacy.org/periodic_table/periodic_table.html,,2007,
36,"Briney, Kristin 
Goben, Abigail 
Zilinski, Lisa",Do You Have An Institutional Data Policy? A Review of the Current Landscape of Library Data Services and Institutional Data Policies,Journal of Librarianship and Scholarly Communication,http://dx.doi.org/10.7710/2162-3309.1232,3:2,2015,
37,"Martone, M. (ed.)",Data Citation Synthesis Group: Joint Declaration of Data Citation Principles,"San Diego, CA: FORCE11",https://www.force11.org/group/joint-declaration-data-citation-principles-final,,2014,
38,DataCite,Cite Your Data,datacite.org,https://www.datacite.org/services/cite-your-data.html,,,
39,"Coates, Heather",Ensuring Research Integrity: The role of data management in current crises,College & Research Libraries News,http://crln.acrl.org/content/75/11/598.full,75:11,2014,
40,Resources for Research Ethics Education,Data Management,UCSD,http://research-ethics.net/topics/data-management/#discussion,,2016,
41,"Purwin, Tom et al. ",The Forum Guide to Education Statistics,National Forum on Education Statistics,http://nces.ed.gov/pubs2010/2010801.pdf,,2010,
42,"Whitbeck, Elizabeth","The Responsible Collection, Retention, Sharing, and Interpretation of Data",Online Ethics Center,http://www.onlineethics.org/Resources/TeachingTools/Modules/19237/moddata.aspx,,2006,
43,"Sapp Nelson, Megan","Where Do We Go From Here? In Data Information Literacy: Librarians, Data, and the Education of a New Generation of Researchers",Purdue University Press,http://www.thepress.purdue.edu/titles/format/9781612493527,,2015,
