Course,Course TItle,Course URL,Course Description,(Competency)
PHS 5705,Recent Advances in Public Health Genomics,,"The course will cover human genetics and genomics, including the human/mammalian genome variation, determination of genomic variation on phenotype and disease risk, mapping and characterizing genetic variants on phenotype, determining the putative impact of genetic variants on gene expression (transcriptomics, epigenomics), the promise and implications of genome science on precision medicine and the ethical, legal & social implications.",
PHS 7310,Clinical Trials Methodology,,"Covers the design and analysis of Phase I-III clinical trials. Topics include choice of study population and endpoints, choice of study design and sample size estimation, randomization and masking, patient recruitment, data collection and quality control, data monitoring committees, data analysis, and the interpretation and reporting of results. Cross-listed as STAT 5310.",
PSYC 5720,Fundamentals of Item Response Theory,,"This course is designed to introduce you to the concepts of item response theory (IRT) models and their application to substantive psychological problems in measurement, such as test and scale design and analysis. ",
PSYC 7760,Introduction to Applied Multivariate Methods,,"Introduces major statistical methods used for the data analysis of multiple measures. Includes elementary matrix algebra, multivariate regression (canonical correlation; multivariate analysis of variance and covariance; and discriminant analysis and classification), correlational methods (principal components and exploratory and confirmatory factor analysis), and the analysis of multivariate contingency tables using log-linear models. Emphasizes concepts, issues, and examples over mathematical derivations.",
SARC 5400,Data Visualization,,"This is a course about information and data visualization. We live in a world rich with information. This course teaches visual and spatial thinking coupled with data analysis tools and custom web-enabled programming to construct and envision information. To find and even invent approaches toward seeing into complex problems, we will study, and make, useful, compelling and beautiful tools to see.",
STAT 6250,Longitudinal Data Analysis,,"This course develops fundamental methodology to the analysis of longitudinal data. Topics include data structures, modeling the mean and covariance, estimation and inference with respect to the marginal models, linear mixed-effects models, and generalized linear mixed-effects models. Conceptual discussion in lectures is supplemented with hands-on practice in applied data-analysis tasks using SAS or R statistical software",
STAT 6260,Categorical Data Analysis,,"This course develops fundamental methodology to the analysis of categorical data. Topics include contingency tables, generalized linear models, logistic regression, and logit and loglinear models. Conceptual discussion in lectures is supplemented with hands-on practice in applied data-analysis tasks using SAS or R statistical software.",
SYS 6023,Cognitive Systems Engineering,," Introduces the field of cognitive systems engineering, which seeks to characterize and support human-systems integration in complex systems environments. Covers key aspects of cognitive human factors in the design of information support systems. Reviews human performance (memory, learning, problem-solving, expertise and human error); characterizes human performance in complex, socio-technical systems, including naturalistic decision making and team performance; reviews different types of decision support systems, with a particular focus on representation aiding systems; and covers the human-centered design process (task analysis, knowledge acquisition methods, product concept, functional requirements, prototype, design, and testing).",
SYS 6050,Risk Analysis,,"A study of technological systems, where decisions are made under conditions of risk and uncertainty. Topics include conceptualization (the nature, perception, and epistemology of risk, and the process of risk assessment and management) systems engineering tools for risk analysis (basic concepts in probability and decision analysis, event trees, decision trees, and multiobjective analysis), and methodologies for risk analysis (hierarchical holographic modeling, uncertainty taxonomy, risk of rare and extreme events, statistics of extremes, partitioned multiobjective risk method, multiobjective decision trees, fault trees, multiobjective impact analysis method, uncertainty sensitivity index method, and filtering, ranking, and management method). Case studies are examined.",
SYS 7001,System and Decision Sciences,,"Introduction to system and decision science with focus on theoretical foundations and mathematical modeling in four areas: systems (mathematical structures, coupling, decomposition, simulation, control), human inputs (principles from measurement theory and cognitive psychology, subjective probability theory, utility theory), decisions under uncertainty (Bayesian processing of information, Bayes decision procedures, value of information), and decisions with multiple objectives (wholistic ranking, dominance analysis, multiattribute utility theory).",
